Siruta,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica,Localitate
131336,593.3001602564102,106.80961538461538,255.9966346153846,0.0,69.37508012820513,23.31017628205128,0.0,0.0,0.0,Oras Comarnic
73996,4.962674604991985,7.949851156400275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sadova
16659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hartiesti
114970,0.0,246.57656347392478,0.0,0.0,0.0,34.72844379804695,0.0,1100.824226054436,0.0,Acatari
49439,1368.8445305770888,0.0,0.0,0.0,0.0,46.65891472868217,0.0,0.0,0.0,Scutelnici
106782,406.4138915318744,77.04814462416746,576.0420551855376,0.0,0.0,0.0,0.0,0.0,0.0,Oras Cavnic
41248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Homorod
123175,3.9778407626900285,0.0,93.1615562999227,0.0,0.0,0.0,0.0,0.0,0.0,Margineni
164133,22.320652173913043,9.478804347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grivita
98603,0.0,0.0,53.474366359447004,0.0,0.0,0.0,0.0,0.0,0.0,Prisacani
57644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fizesu Gherlii
74028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Salcuta
65841,105.53654258429157,1076.7697329955174,61.657863964139544,0.0,0.0,613.9183395049698,0.2789417267589164,41.655281621516274,0.0,Municipiul Moreni
172340,4990.643534190927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pietrari
155957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barna
90431,0.0,5452.008680555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pestisu Mic
106817,263.44784022997203,150.57523261971406,1429.2032680232999,0.0,0.0,0.0,0.0,32330.025493607685,0.0,Oras Targu Lapus
82243,352.2035655058043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stejari
41284,71.6274223034735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jibert
147786,3717.5257815671944,0.0,3236.426444715117,0.0,0.0,0.0,0.0,152.06875084585195,0.0,Cornu Luncii
49484,0.0,0.0,254.8976183111661,0.0,0.0,0.0,0.0,0.0,0.0,Siriu
65869,0.0,0.0,4.982314300151592,0.0,0.0,0.0,0.0,0.0,0.0,Iedera
131407,9419.214173132881,2051.6024490785644,0.47405431619786614,0.0,0.0,145.22575169738118,0.0,69.0233389912706,0.041585838991270614,Oras Mizil
74073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scaesti
98649,0.0,0.0,0.0,0.0,0.0,0.0,0.9316671098112205,0.0,0.0,Probota
172377,0.0,0.0,19.845672918723263,0.0,0.0,0.0,0.0,0.0,0.0,Popesti
123228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moldoveni
33122,0.0,0.0,800.0787224471435,0.0,0.0,0.0,0.0,0.0,0.0,Chiuza
16739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Izvoru
164197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hoceni
57706,2077.2049142491924,781.4936974043958,125.6362958491638,445.98778539218125,0.0,237.5170969001882,53.93764868799489,93.20541135532436,0.14195930831232467,Floresti
131443,2221.3914767096135,1062.6238299746724,43.74694416914437,0.0,0.0,906.4680101310429,0.0,86.04371765224094,0.0,Oras Plopeni
16757,0.0,792.3201331697915,88.77063255650955,0.0,51.13404590853338,0.0,0.0,0.0,0.0,Leordeni
123255,0.0,0.0,63.74959785522788,0.0,0.0,0.0,0.0,0.0,0.0,Oniceni
98685,101.8658088235294,50.901600346020764,10.317582179930795,0.0,0.0,0.0,0.0,0.0,0.0,Raducaneni
74108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seaca De Camp
65921,367.00201285630806,16853.441075254854,0.0,319.2306343743913,0.0,51.959288357898835,117.24160768781248,325.9044217907928,0.0,Oras Pucioasa
156035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bogda
41346,0.0,0.0,478.5721393034826,0.0,0.0,0.0,0.0,0.0,0.0,Lisa
115076,0.0,0.0,109.29620388522545,0.0,0.0,0.0,0.0,0.0,0.0,Adamus
131461,0.0,0.0,2.8833378341884957,0.0,226.05995139076424,237.77585741290846,0.0,1.7418309478800973,0.0,Dumbravesti
49545,52.95690174804099,0.9942736588306209,30.978450874020496,0.0,0.0,0.0,0.0,13.50210970464135,0.0,Smeeni
82314,9.998272138228941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stoina
57742,254.9341493268054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Frata
74135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seaca De Padure
33177,0.0,112.60029498525074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cosbuc
41382,616.437558393024,0.0,0.0,0.0,0.0,0.0,27.14886328246652,5887.583307380878,0.0,Maierus
24999,44.13518052057095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rosiori
90538,65.00327255726975,0.0,963.2924263674614,0.0,0.0,0.0,0.0,0.0,0.0,Pui
172457,313.6464891041162,0.0,0.0,0.0,73.47869249394674,0.0,0.0,0.0,0.0,Prundeni
